RetentionID,UserID,MonthlyActive,DaysSinceLastActivity,LifetimeValue,ChurnRisk
448,448,Y,40,750.35,Low
449,449,Y,42,293.59,High
450,450,Y,30,303.31,Medium
451,451,Y,79,648.63,High
452,452,N,54,448.88,High
453,453,Y,30,986.53,High
454,454,N,57,35.1,Low
455,455,Y,28,372.01,Medium
456,456,Y,42,965.46,Medium
457,457,Y,54,100.26,Medium
458,458,Y,85,413.41,Medium
459,459,N,25,540.27,Medium
460,460,Y,49,996.12,High
461,461,Y,39,35.24,Medium
462,462,Y,60,296.88,Medium
463,463,Y,2,497.97,High
464,464,Y,8,623.13,Low
465,465,Y,38,737.36,Low
466,466,Y,7,908.76,Low
467,467,Y,57,67.03,High
468,468,N,22,514.99,Medium
469,469,Y,89,499.54,Medium
470,470,Y,70,769.01,Low
471,471,Y,51,542.61,High
472,472,Y,79,703.56,High
473,473,Y,10,283.55,Low
474,474,Y,17,211.78,High
475,475,Y,81,933.18,Low
476,476,Y,5,549.56,Low
477,477,Y,59,143.33,Low
478,478,N,47,956.8,Medium
479,479,Y,37,179.99,High
480,480,N,17,684.13,Low
481,481,Y,40,402.89,Low
482,482,Y,27,486.93,High
483,483,Y,15,174.3,Low
484,484,N,15,602.25,High
485,485,Y,77,153.55,Medium
486,486,Y,6,467.75,Low
487,487,Y,38,450.39,Low
488,488,Y,55,529.94,High
489,489,Y,21,214.83,Medium
490,490,Y,0,254.63,Low
491,491,Y,72,910.39,High
492,492,Y,6,747.44,High
493,493,Y,54,62.84,Low
494,494,Y,73,517.14,High
495,495,N,49,576.17,High
496,496,Y,8,921.48,High
497,497,Y,72,754.59,High
498,498,Y,70,401.72,Low
499,499,Y,27,44.95,Low
500,500,Y,28,977.96,Low
501,501,N,58,866.05,Low
502,502,Y,20,295.92,Medium
503,503,Y,31,184.97,High
504,504,Y,27,70.25,High
505,505,N,20,393.6,High
506,506,Y,6,120.29,Low
507,507,Y,59,315.95,High
508,508,Y,57,843.52,Low
509,509,Y,49,71.74,High
510,510,Y,59,331.73,Medium
511,511,Y,75,259.61,Low
512,512,Y,19,938.61,Low
513,513,Y,32,474.58,Low
514,514,Y,67,818.59,Low
515,515,Y,55,554.85,Low
516,516,Y,65,274.27,Medium
517,517,Y,26,772.0,High
518,518,N,84,616.66,Low
519,519,N,87,416.91,Low
520,520,Y,21,962.12,High
521,521,N,72,807.16,Low
522,522,Y,9,185.6,Low
523,523,Y,27,45.27,High
524,524,Y,68,404.81,Medium
525,525,Y,54,460.6,Low
526,526,Y,87,829.73,Medium
527,527,Y,15,12.12,Low
528,528,Y,9,445.56,Low
529,529,Y,18,422.56,High
530,530,Y,88,266.38,Low
531,531,Y,71,143.11,High
532,532,N,56,99.46,High
533,533,Y,4,439.75,High
534,534,Y,9,817.85,Low
535,535,Y,31,471.5,High
536,536,Y,8,50.91,Low
537,537,N,13,467.14,Low
538,538,N,65,823.33,Low
539,539,Y,4,937.66,Low
540,540,Y,60,478.07,High
541,541,Y,26,583.65,Low
542,542,Y,11,549.87,Medium
543,543,Y,47,410.28,Medium
544,544,Y,57,191.62,Low
545,545,Y,71,811.27,High
546,546,Y,15,664.95,Low
547,547,N,34,435.52,High
548,548,N,40,399.47,Low
549,549,Y,14,10.72,Medium
550,550,Y,50,333.23,Low
551,551,N,66,331.92,Low
552,552,Y,80,754.3,Low
553,553,Y,31,869.02,High
554,554,N,31,28.88,High
555,555,Y,17,315.82,Low
556,556,Y,70,446.85,Low
557,557,N,69,869.61,Low
558,558,Y,1,671.99,Medium
559,559,Y,60,970.81,High
560,560,N,44,294.5,High
561,561,Y,10,166.93,Low
562,562,Y,68,698.29,High
563,563,Y,7,359.1,High
564,564,Y,84,629.5,High
565,565,Y,23,212.15,High
566,566,Y,74,866.34,Low
567,567,Y,69,676.23,Medium
568,568,Y,37,692.9,Low
569,569,Y,56,105.99,High
570,570,Y,38,814.63,Low
571,571,N,1,825.21,Low
572,572,N,73,836.15,Low
573,573,N,89,419.14,Low
574,574,Y,9,825.29,High
575,575,Y,66,162.71,Low
576,576,Y,24,403.1,Low
577,577,N,65,673.62,Low
578,578,Y,29,625.58,Low
579,579,Y,30,337.75,Medium
580,580,Y,20,569.31,Low
581,581,N,42,481.21,High
582,582,N,27,674.53,Low
583,583,Y,86,778.36,High
584,584,Y,55,798.38,Low
585,585,Y,22,535.61,Medium
586,586,Y,53,498.94,Low
587,587,Y,35,29.26,High
588,588,N,34,768.04,High
589,589,Y,85,536.91,High
590,590,Y,9,860.09,Low
591,591,Y,32,174.87,Low
592,592,Y,81,714.26,High
593,593,Y,36,428.7,Medium
594,594,Y,19,922.24,Low
595,595,Y,31,661.06,High
596,596,Y,54,69.08,High
597,597,Y,44,540.68,Low
598,598,Y,74,217.96,Medium
599,599,Y,85,800.9,High
600,600,Y,78,947.42,Medium
601,601,N,55,959.44,Medium
602,602,Y,57,777.38,Low
603,603,Y,70,668.77,Medium
604,604,Y,71,214.1,Low
605,605,Y,88,419.34,High
606,606,Y,78,964.29,Low
607,607,Y,11,112.79,Medium
608,608,Y,20,500.78,High
609,609,Y,69,134.97,High
610,610,Y,70,354.95,Low
611,611,Y,47,213.91,Low
612,612,Y,1,580.94,Low
613,613,N,61,23.89,High
614,614,Y,77,200.08,Medium
615,615,Y,37,907.63,Medium
616,616,Y,28,268.01,Medium
617,617,Y,44,883.72,High
618,618,N,63,751.06,Low
619,619,Y,38,143.7,Medium
620,620,Y,77,61.49,High
621,621,N,33,86.51,High
622,622,Y,71,321.41,Medium
623,623,Y,48,990.96,Low
624,624,Y,13,335.03,High
625,625,Y,10,369.81,Low
626,626,Y,75,799.08,Low
627,627,Y,17,797.79,Medium
628,628,Y,47,951.64,Medium
629,629,Y,41,255.5,High
630,630,Y,22,977.09,High
631,631,Y,48,282.89,Low
632,632,Y,61,530.14,High
633,633,Y,27,580.66,Medium
634,634,Y,32,977.9,Low
635,635,N,48,671.93,High
636,636,Y,88,716.72,Low
637,637,Y,5,838.69,High
638,638,N,69,634.9,High
639,639,Y,14,335.04,Low
640,640,Y,49,37.82,High
641,641,Y,25,788.64,High
642,642,Y,83,903.44,Low
643,643,Y,84,644.9,High
644,644,Y,15,794.44,Low
645,645,N,9,698.64,High
646,646,Y,29,325.16,Low
647,647,Y,37,676.77,Low
648,648,Y,31,313.09,Low
649,649,Y,56,643.19,Medium
650,650,Y,5,617.64,Low
651,651,Y,8,825.12,High
652,652,N,6,344.34,Low
653,653,Y,40,594.24,Low
654,654,Y,80,706.12,Low
655,655,N,30,678.59,High
656,656,N,63,292.43,Low
657,657,N,28,360.09,Low
658,658,Y,11,370.23,Low
659,659,Y,66,205.14,High
660,660,N,62,952.31,Low
661,661,Y,47,746.2,Medium
662,662,Y,64,729.34,High
663,663,Y,60,480.16,Low
664,664,Y,62,451.62,High
665,665,Y,58,10.52,High
666,666,N,39,504.42,High
667,667,Y,49,144.89,Low
668,668,Y,31,815.19,Medium
669,669,Y,74,294.69,High
670,670,Y,76,924.03,High
671,671,Y,26,581.76,Medium
672,672,Y,1,533.87,Medium
673,673,N,85,840.3,Low
674,674,Y,85,595.93,Low
675,675,N,81,972.28,High
676,676,Y,20,730.77,High
677,677,Y,88,90.78,Medium
678,678,Y,81,124.79,Low
679,679,Y,29,290.21,Low
680,680,N,73,481.65,Medium
681,681,Y,83,536.86,High
682,682,Y,34,43.59,Low
683,683,Y,36,311.88,High
684,684,Y,50,276.55,Medium
685,685,Y,28,836.49,Low
686,686,Y,39,278.98,High
687,687,N,27,369.68,Low
688,688,Y,0,649.17,Low
689,689,N,64,442.87,Medium
690,690,Y,26,608.33,Low
691,691,Y,71,967.58,Low
692,692,Y,48,778.83,Low
693,693,N,7,689.36,Low
694,694,Y,29,25.46,High
695,695,Y,59,891.54,Low
696,696,Y,19,184.58,Low
697,697,Y,81,161.11,High
698,698,Y,63,102.73,Low
699,699,Y,74,350.43,Low
700,700,Y,31,978.58,Low
701,701,Y,2,302.42,Low
702,702,Y,37,811.03,Medium
703,703,Y,76,882.71,Low
704,704,N,34,568.77,High
705,705,N,53,35.33,High
706,706,Y,18,509.36,Low
707,707,N,27,429.3,Low
708,708,Y,35,805.75,Low
709,709,Y,83,681.69,Medium
710,710,Y,85,468.39,High
711,711,N,10,538.84,High
712,712,Y,80,388.35,Medium
713,713,Y,22,371.09,Medium
714,714,Y,29,490.72,High
715,715,Y,55,586.87,High
716,716,N,85,624.58,High
717,717,N,84,85.06,Low
718,718,Y,59,358.58,Medium
719,719,Y,6,185.89,Medium
720,720,Y,49,445.72,Low
721,721,Y,82,145.98,Low
722,722,N,3,258.05,Low
723,723,N,21,455.52,Low
724,724,Y,35,790.78,High
725,725,Y,57,743.68,Low
726,726,Y,25,888.37,High
727,727,Y,32,51.2,High
728,728,Y,7,464.09,High
729,729,Y,59,97.03,Medium
730,730,Y,72,525.55,Low
731,731,Y,78,906.62,Low
732,732,Y,57,63.04,Low
733,733,Y,70,363.29,Medium
734,734,Y,50,710.32,High
735,735,Y,78,757.74,High
736,736,N,47,948.43,Low
737,737,Y,32,127.32,Low
738,738,Y,7,978.38,Low
739,739,Y,34,646.18,Low
740,740,Y,23,284.8,Medium
741,741,Y,50,45.9,Low
742,742,Y,56,512.83,Low
743,743,Y,11,776.64,High
744,744,Y,22,116.61,High
745,745,Y,37,830.16,Medium
746,746,Y,65,314.14,Low
747,747,N,66,111.99,Low
748,748,Y,21,935.58,Medium
749,749,Y,2,604.91,Low
750,750,Y,6,16.75,Low
751,751,Y,50,260.81,Medium
752,752,Y,61,268.48,Low
753,753,Y,12,703.47,High
754,754,Y,13,746.87,High
755,755,Y,82,812.16,Low
756,756,N,8,630.36,Low
757,757,Y,16,825.02,High
758,758,Y,52,369.14,Low
759,759,Y,43,189.18,Low
760,760,Y,35,685.46,High
761,761,Y,16,324.02,Medium
762,762,Y,41,659.55,High
763,763,Y,3,925.77,Medium
764,764,Y,26,349.71,High
765,765,Y,33,174.6,Low
766,766,N,8,371.44,High
767,767,Y,83,561.24,Medium
768,768,Y,66,507.4,High
769,769,Y,4,521.38,High
770,770,Y,56,78.8,Medium
771,771,Y,1,165.3,Medium
772,772,Y,6,522.11,Low
773,773,Y,58,402.01,High
774,774,Y,35,469.77,Low
775,775,Y,11,69.16,Medium
776,776,N,5,706.74,Low
777,777,Y,89,468.7,High
778,778,Y,24,112.8,Low
779,779,Y,35,458.76,Low
780,780,Y,69,62.13,Medium
781,781,Y,5,925.1,High
782,782,Y,56,765.56,Low
783,783,Y,84,559.21,Low
784,784,Y,47,174.32,Low
785,785,Y,20,997.98,Low
786,786,Y,65,320.58,High
787,787,Y,85,987.64,Low
788,788,Y,23,514.89,Low
789,789,Y,48,73.68,Low
790,790,Y,41,218.74,High
791,791,Y,82,83.75,High
792,792,N,85,593.32,Low
793,793,Y,26,163.01,Low
794,794,Y,72,489.4,High
795,795,Y,1,931.01,Low
796,796,Y,16,288.81,High
797,797,Y,45,263.27,Low
798,798,Y,29,291.22,High
799,799,Y,6,481.08,High
800,800,N,47,710.6,Medium
801,801,N,77,246.06,High
802,802,Y,12,680.32,Low
803,803,Y,65,60.77,Low
804,804,Y,14,134.17,High
805,805,N,9,988.11,Low
806,806,N,24,422.91,Low
807,807,Y,52,821.08,Low
808,808,Y,74,546.61,Medium
809,809,Y,29,457.85,Low
810,810,Y,79,671.6,High
811,811,Y,45,18.92,Low
812,812,Y,19,393.94,Low
813,813,Y,89,973.07,Low
814,814,Y,69,17.96,Low
815,815,Y,79,60.07,Low
816,816,Y,50,139.09,High
817,817,N,5,270.96,Medium
818,818,Y,6,380.81,Low
819,819,Y,15,321.01,Low
820,820,Y,72,910.76,High
821,821,Y,21,504.64,High
822,822,Y,81,541.95,Low
823,823,Y,11,33.67,Low
824,824,N,59,19.33,High
825,825,Y,31,843.87,Low
826,826,Y,68,528.73,High
827,827,Y,46,150.94,Low
828,828,Y,6,329.35,Low
829,829,Y,48,158.05,Low
830,830,Y,77,690.1,Low
831,831,N,67,692.26,High
832,832,Y,10,998.51,High
833,833,Y,20,473.91,High
834,834,Y,12,629.08,High
835,835,Y,67,966.44,Low
836,836,Y,33,436.35,Medium
837,837,Y,25,413.31,Low
838,838,N,66,208.06,High
839,839,N,67,885.85,High
840,840,N,53,168.66,High
841,841,Y,45,572.39,Medium
842,842,N,19,188.44,Medium
843,843,Y,42,432.82,Medium
844,844,Y,62,386.36,Medium
845,845,Y,83,786.1,High
846,846,Y,26,568.03,Medium
847,847,Y,49,433.02,Low
848,848,N,72,298.81,Medium
849,849,N,69,904.82,Low
850,850,Y,40,234.04,High
851,851,Y,5,374.13,Low
852,852,Y,79,491.79,Medium
853,853,Y,71,47.0,Medium
854,854,Y,8,736.33,High
855,855,Y,73,286.85,Medium
856,856,Y,30,894.43,Low
857,857,Y,55,642.07,Low
858,858,Y,62,744.67,Low
859,859,Y,4,565.78,Low
860,860,Y,40,269.55,Medium
861,861,Y,40,245.42,Low
862,862,Y,58,478.62,Low
863,863,Y,38,921.04,Low
864,864,Y,70,403.97,Low
865,865,N,1,668.06,Medium
866,866,N,39,497.08,High
867,867,N,13,767.81,Low
868,868,Y,86,662.34,Low
869,869,Y,7,528.65,Medium
870,870,Y,66,477.24,Low
871,871,Y,67,291.88,Medium
872,872,Y,54,516.4,Low
873,873,N,42,189.44,Low
874,874,Y,46,278.3,High
875,875,Y,49,903.64,High
876,876,Y,65,839.1,High
877,877,Y,3,747.52,High
878,878,Y,44,442.56,High
879,879,Y,39,388.93,Low
880,880,Y,41,947.66,High
881,881,N,82,870.22,Medium
882,882,Y,32,301.72,Medium
883,883,N,82,756.23,High
884,884,Y,35,205.06,High
