EngagementID,UserID,ActionType,ActionDate,DeviceType,Duration
93,638,Joined a group,2023-07-18,Mobile,1697
94,3637,Added a transaction,2023-05-30,Mobile,1102
95,2245,Created a group,2023-06-11,Mobile,424
96,156,Joined a group,2023-03-13,Web,3183
97,1236,Created a group,2023-11-13,Mobile,3442
98,403,Created a group,2024-09-02,Mobile,1647
99,2475,Added a transaction,2024-05-21,Web,3376
100,4029,Joined a group,2023-11-22,Web,1776
101,3657,Joined a group,2023-08-12,Web,3358
102,308,Added a transaction,2023-01-04,Mobile,3027
103,4446,Created a group,2024-11-13,Web,3568
104,3794,Created a group,2023-09-24,Mobile,254
105,202,Created a group,2023-11-18,Mobile,818
106,4140,Joined a group,2023-08-06,Web,436
107,1734,Joined a group,2024-10-29,Web,2533
108,462,Created a group,2024-03-03,Mobile,3385
109,1616,Created a group,2024-06-23,Mobile,313
110,4131,Joined a group,2023-09-26,Web,2018
111,4453,Created a group,2023-02-20,Web,454
112,320,Created a group,2023-10-02,Mobile,2562
113,139,Created a group,2023-09-17,Mobile,126
114,1167,Added a transaction,2023-05-27,Mobile,244
115,2877,Created a group,2023-06-18,Mobile,2151
116,2678,Added a transaction,2023-12-25,Mobile,3102
117,4691,Created a group,2023-01-18,Mobile,1872
118,2333,Created a group,2024-09-07,Web,1492
119,3995,Created a group,2023-11-01,Web,2046
120,4612,Created a group,2023-12-30,Mobile,52
121,3831,Joined a group,2023-05-08,Web,1190
122,2342,Added a transaction,2024-04-05,Mobile,2357
123,1682,Joined a group,2024-11-07,Mobile,2449
124,4806,Added a transaction,2024-12-15,Mobile,78
125,1393,Created a group,2024-09-08,Mobile,2685
126,3771,Joined a group,2023-09-30,Web,1302
127,4279,Joined a group,2023-04-17,Mobile,463
128,3426,Joined a group,2024-12-19,Mobile,3523
129,1402,Created a group,2023-09-27,Mobile,2504
130,1383,Added a transaction,2023-02-26,Mobile,3166
131,3691,Added a transaction,2023-06-10,Web,915
132,4161,Created a group,2023-04-06,Web,2690
133,3155,Joined a group,2023-04-26,Web,2112
134,3169,Added a transaction,2023-10-03,Mobile,1555
135,1045,Created a group,2024-11-08,Mobile,2628
136,3127,Added a transaction,2023-02-11,Mobile,3318
137,1041,Joined a group,2023-06-05,Mobile,3365
138,1102,Added a transaction,2024-02-12,Mobile,319
139,2556,Added a transaction,2023-02-12,Web,3046
140,63,Added a transaction,2024-10-30,Mobile,2657
141,2755,Added a transaction,2024-03-11,Mobile,1254
142,3780,Added a transaction,2023-07-17,Web,1429
143,2953,Added a transaction,2023-07-18,Web,2264
144,3952,Created a group,2023-06-26,Mobile,1357
145,3925,Created a group,2024-01-01,Web,3741
146,1322,Added a transaction,2024-09-11,Mobile,3331
147,2702,Created a group,2023-07-15,Web,1193
148,1135,Added a transaction,2024-12-06,Web,7382
149,3205,Added a transaction,2023-10-17,Web,2486
150,3215,Added a transaction,2024-05-09,Web,5721
151,3125,Created a group,2024-09-28,Web,1251
152,497,Created a group,2023-04-25,Web,395
153,3017,Added a transaction,2024-01-10,Mobile,1050
154,1602,Added a transaction,2023-12-28,Web,374
155,4679,Joined a group,2024-08-24,Mobile,2470
156,2065,Added a transaction,2024-10-25,Web,5806
157,3438,Created a group,2024-01-04,Mobile,814
158,3500,Added a transaction,2023-09-02,Mobile,1006
159,505,Added a transaction,2023-06-14,Web,1869
160,407,Joined a group,2023-12-02,Web,527
161,3853,Added a transaction,2023-12-16,Web,1468
162,3983,Created a group,2024-12-03,Web,5685
163,4974,Added a transaction,2023-10-14,Web,1122
164,4522,Joined a group,2023-05-21,Web,1684
165,3311,Added a transaction,2023-11-28,Web,826
166,1417,Added a transaction,2023-11-13,Mobile,967
167,3310,Joined a group,2024-11-20,Mobile,3351
168,3513,Joined a group,2023-09-16,Mobile,2894
169,3294,Added a transaction,2023-09-16,Web,3050
170,3840,Added a transaction,2023-07-08,Mobile,3270
171,1250,Joined a group,2023-01-23,Web,195
172,250,Added a transaction,2024-04-29,Web,620
173,4829,Created a group,2024-12-12,Web,2534
174,2044,Added a transaction,2023-10-01,Web,1009
175,2348,Created a group,2023-12-22,Mobile,2300
176,1972,Joined a group,2023-08-17,Web,720
177,4014,Created a group,2024-02-07,Mobile,267
178,692,Joined a group,2024-01-27,Mobile,51
179,4519,Created a group,2024-11-12,Mobile,2706
180,2934,Joined a group,2023-10-06,Web,3458
181,2563,Joined a group,2024-05-05,Mobile,410
182,152,Joined a group,2024-12-17,Mobile,266
183,2220,Joined a group,2024-09-30,Web,4840
184,2950,Added a transaction,2024-12-24,Mobile,2570
185,920,Joined a group,2024-05-28,Mobile,3392
186,3527,Joined a group,2023-06-29,Web,2746
187,2057,Joined a group,2024-04-10,Web,5999
188,1437,Created a group,2023-10-02,Web,245
189,774,Created a group,2023-10-03,Mobile,1769
190,995,Joined a group,2024-02-13,Mobile,2276
191,4045,Added a transaction,2024-06-05,Web,6149
192,35,Created a group,2023-03-06,Mobile,3206
193,2133,Created a group,2024-11-22,Web,1848
194,560,Joined a group,2023-07-23,Web,102
195,3244,Created a group,2024-03-30,Web,2520
196,754,Joined a group,2024-06-09,Mobile,1914
197,3623,Joined a group,2024-01-10,Mobile,2795
198,196,Created a group,2024-10-31,Mobile,2577
199,1772,Added a transaction,2023-12-26,Web,1356
200,2499,Added a transaction,2023-03-25,Mobile,705
201,2965,Joined a group,2023-08-16,Web,1906
202,2284,Created a group,2023-11-03,Mobile,1787
203,586,Created a group,2024-10-25,Web,1224
204,404,Created a group,2024-01-03,Web,1420
205,3886,Joined a group,2023-08-16,Mobile,1116
206,606,Created a group,2023-04-30,Web,2283
207,4952,Added a transaction,2024-01-27,Web,1278
208,2099,Joined a group,2024-06-09,Mobile,133
209,309,Added a transaction,2023-05-25,Mobile,3481
210,1644,Added a transaction,2023-03-11,Web,1130
211,494,Created a group,2023-09-22,Mobile,3243
212,2253,Created a group,2023-03-17,Mobile,1479
213,605,Added a transaction,2023-04-27,Mobile,3556
214,2456,Created a group,2023-03-06,Web,290
215,650,Added a transaction,2024-04-26,Web,4501
216,2527,Created a group,2023-11-11,Mobile,3018
217,4715,Created a group,2024-11-11,Mobile,2484
218,1368,Created a group,2024-06-16,Mobile,3445
219,1519,Joined a group,2023-01-20,Mobile,2126
220,1321,Added a transaction,2023-11-21,Web,1654
221,3306,Created a group,2024-12-08,Mobile,1969
222,207,Added a transaction,2023-11-11,Mobile,2584
223,3961,Joined a group,2023-01-15,Web,2953
224,2703,Added a transaction,2023-09-19,Mobile,2909
225,4193,Joined a group,2024-07-11,Mobile,1855
226,1816,Joined a group,2023-07-02,Mobile,2327
227,3651,Added a transaction,2023-10-23,Web,2903
228,161,Added a transaction,2023-09-05,Mobile,486
229,3263,Added a transaction,2024-08-04,Mobile,1869
230,2163,Created a group,2024-07-30,Web,4763
231,127,Created a group,2023-06-21,Web,1365
232,4729,Joined a group,2024-04-29,Web,2554
233,1088,Added a transaction,2024-03-03,Web,3055
234,1801,Joined a group,2024-04-26,Web,95
235,30,Added a transaction,2024-01-18,Mobile,752
236,2579,Added a transaction,2023-08-16,Web,3023
237,893,Joined a group,2024-12-08,Web,6055
238,987,Added a transaction,2023-03-12,Mobile,105
239,2485,Added a transaction,2024-06-24,Mobile,2600
240,4650,Created a group,2024-03-18,Mobile,1340
241,2285,Created a group,2023-12-03,Mobile,2998
242,2162,Created a group,2023-05-31,Mobile,2960
243,1823,Joined a group,2024-08-09,Mobile,2499
244,696,Created a group,2024-07-21,Mobile,284
245,4005,Joined a group,2024-01-01,Web,1741
246,4661,Added a transaction,2024-06-16,Mobile,889
247,1198,Added a transaction,2023-01-31,Mobile,456
248,4690,Created a group,2024-11-04,Mobile,3059
249,4046,Added a transaction,2023-09-06,Mobile,852
250,2606,Joined a group,2024-10-31,Web,577
251,4017,Joined a group,2024-03-12,Mobile,435
252,1770,Joined a group,2024-06-23,Mobile,1681
253,4792,Added a transaction,2023-06-05,Mobile,115
254,2692,Added a transaction,2024-12-02,Mobile,758
255,4475,Added a transaction,2024-09-26,Mobile,2126
256,4369,Created a group,2023-05-11,Mobile,1291
257,1252,Created a group,2024-05-09,Mobile,920
258,1600,Joined a group,2023-03-10,Mobile,2842
259,4722,Created a group,2023-12-27,Mobile,1771
260,1213,Added a transaction,2024-04-22,Web,2943
261,2248,Created a group,2024-08-26,Web,4234
262,3989,Joined a group,2023-11-27,Web,1432
263,194,Created a group,2023-08-08,Mobile,2794
264,497,Added a transaction,2023-05-08,Web,2680
265,3265,Joined a group,2024-08-03,Web,4853
266,489,Added a transaction,2023-11-28,Mobile,2998
267,3816,Created a group,2023-05-29,Web,959
268,3667,Joined a group,2023-07-28,Web,808
269,2952,Added a transaction,2024-02-26,Mobile,1406
270,4942,Joined a group,2024-01-24,Web,8817
271,3698,Added a transaction,2024-05-17,Web,590
272,1151,Created a group,2023-03-08,Mobile,376
273,2968,Added a transaction,2023-10-26,Mobile,1708
274,1503,Created a group,2023-08-22,Mobile,1316
275,2463,Created a group,2024-11-03,Mobile,3464
276,2639,Joined a group,2024-10-21,Web,4337
277,2260,Joined a group,2023-09-11,Mobile,3504
278,862,Added a transaction,2023-06-13,Web,2504
279,1999,Joined a group,2023-11-17,Mobile,2900
280,2321,Created a group,2024-02-03,Mobile,3106
281,4989,Added a transaction,2023-05-27,Mobile,1377
282,3869,Added a transaction,2023-09-07,Web,2095
283,4649,Added a transaction,2024-02-23,Web,1722
284,4149,Added a transaction,2024-09-23,Mobile,1565
285,2390,Added a transaction,2024-07-04,Mobile,1358
286,1481,Created a group,2023-10-30,Mobile,1053
287,3692,Created a group,2024-05-25,Mobile,1526
288,4429,Joined a group,2023-10-06,Web,915
289,323,Joined a group,2023-12-12,Web,1699
290,2442,Created a group,2024-11-15,Web,4003
291,1168,Added a transaction,2023-03-26,Web,484
292,3569,Joined a group,2024-06-15,Mobile,2069
293,3596,Created a group,2023-10-17,Mobile,1856
294,1303,Joined a group,2024-05-16,Web,6376
295,4014,Added a transaction,2023-09-18,Mobile,1520
296,3019,Joined a group,2023-03-12,Mobile,3037
297,4822,Created a group,2023-06-28,Web,2481
298,4107,Joined a group,2024-05-17,Web,889
299,2936,Added a transaction,2024-10-27,Mobile,2510
300,488,Joined a group,2023-06-06,Web,2806
301,1811,Added a transaction,2024-03-25,Mobile,2592
302,1836,Added a transaction,2023-08-16,Web,676
303,4452,Joined a group,2023-09-27,Mobile,556
304,139,Joined a group,2024-09-25,Mobile,697
305,3069,Joined a group,2023-10-24,Web,1168
306,155,Created a group,2024-05-02,Mobile,2940
307,4687,Joined a group,2024-10-18,Mobile,1977
308,2312,Created a group,2023-10-11,Mobile,2441
309,2472,Added a transaction,2024-06-11,Web,625
310,515,Created a group,2023-12-30,Mobile,31
311,2622,Created a group,2024-11-06,Mobile,1003
312,2916,Joined a group,2024-02-13,Web,5642
313,1180,Joined a group,2024-10-03,Mobile,2722
314,2769,Created a group,2024-01-24,Mobile,218
315,443,Added a transaction,2023-05-02,Web,2023
316,4561,Added a transaction,2023-06-15,Web,172
317,4481,Joined a group,2023-03-12,Web,792
318,467,Joined a group,2024-11-09,Mobile,118
319,3766,Created a group,2024-04-18,Mobile,686
320,2583,Added a transaction,2023-08-27,Web,1171
321,4444,Joined a group,2023-02-01,Web,3036
322,4637,Added a transaction,2023-12-25,Web,978
323,3120,Joined a group,2023-02-22,Web,2047
324,2917,Joined a group,2024-08-16,Web,4147
325,470,Added a transaction,2023-07-09,Mobile,376
326,1492,Added a transaction,2024-07-30,Mobile,2294
327,4403,Joined a group,2023-12-24,Mobile,989
328,2382,Joined a group,2023-11-21,Mobile,705
329,4122,Added a transaction,2024-07-26,Web,4733
330,2601,Joined a group,2023-03-13,Web,2957
331,1690,Joined a group,2023-09-23,Mobile,822
332,520,Joined a group,2024-04-23,Web,2785
333,3589,Joined a group,2024-08-12,Mobile,2362
334,1289,Joined a group,2023-12-03,Mobile,618
335,1778,Joined a group,2023-12-13,Web,2063
336,12,Joined a group,2023-07-07,Web,143
337,2851,Created a group,2023-03-31,Mobile,2931
338,3373,Added a transaction,2023-01-30,Web,2990
339,1837,Created a group,2023-01-30,Web,2695
340,4984,Joined a group,2023-09-22,Mobile,860
341,845,Joined a group,2023-03-06,Web,1663
342,1864,Created a group,2024-11-20,Mobile,1438
343,644,Joined a group,2024-05-30,Mobile,2758
344,299,Joined a group,2023-04-14,Web,1108
345,1859,Added a transaction,2023-10-11,Web,2542
346,1879,Added a transaction,2024-03-24,Mobile,1603
347,2700,Joined a group,2024-11-29,Web,5960
348,509,Added a transaction,2024-06-01,Web,3070
349,1563,Created a group,2023-12-18,Mobile,2477
350,2570,Created a group,2023-05-24,Web,2213
351,1401,Added a transaction,2023-11-28,Web,2274
352,1787,Added a transaction,2024-08-01,Web,4873
353,1233,Added a transaction,2024-08-12,Mobile,1941
354,221,Added a transaction,2023-03-16,Mobile,2774
355,476,Created a group,2024-05-23,Mobile,2887
356,821,Created a group,2023-02-27,Mobile,2471
357,2870,Added a transaction,2024-12-22,Mobile,416
358,3109,Created a group,2023-03-07,Mobile,381
359,2200,Added a transaction,2024-08-22,Mobile,1191
360,1642,Added a transaction,2023-07-01,Mobile,235
361,3705,Added a transaction,2024-03-02,Mobile,3020
362,3966,Added a transaction,2023-05-08,Web,2751
363,3533,Added a transaction,2023-03-27,Web,2506
364,1348,Added a transaction,2023-03-19,Web,416
365,591,Joined a group,2024-11-03,Mobile,3383
366,1218,Joined a group,2023-11-28,Web,1563
367,2767,Added a transaction,2024-12-01,Web,6054
368,4459,Added a transaction,2024-12-28,Web,4279
369,1001,Joined a group,2023-03-02,Mobile,3124
370,2956,Created a group,2023-11-27,Web,2999
371,2874,Created a group,2024-03-22,Mobile,2319
372,670,Added a transaction,2023-11-08,Web,1175
373,2847,Joined a group,2024-06-04,Web,257
374,2495,Added a transaction,2023-09-20,Mobile,953
375,3549,Added a transaction,2024-04-22,Web,6321
376,1752,Joined a group,2023-08-20,Mobile,3163
377,889,Added a transaction,2024-01-31,Web,2667
378,309,Added a transaction,2024-12-29,Web,6231
379,237,Created a group,2024-08-29,Mobile,2554
380,790,Joined a group,2023-09-01,Web,979
381,1757,Joined a group,2023-02-27,Web,1493
382,910,Created a group,2024-09-20,Mobile,2492
383,9,Joined a group,2024-09-21,Mobile,813
384,1061,Added a transaction,2024-01-14,Mobile,1469
385,1402,Joined a group,2024-08-29,Mobile,2470
386,500,Added a transaction,2024-08-29,Mobile,3340
387,3674,Joined a group,2024-12-09,Mobile,1597
388,2459,Joined a group,2024-06-23,Web,2477
389,1552,Created a group,2024-02-17,Web,2559
390,210,Added a transaction,2024-04-29,Web,1218
391,2919,Added a transaction,2024-04-28,Mobile,1608
392,4039,Created a group,2024-05-03,Mobile,3249
393,4744,Created a group,2024-05-15,Mobile,3474
394,1052,Added a transaction,2023-11-25,Web,1778
395,3913,Created a group,2024-10-29,Mobile,809
396,3881,Joined a group,2023-01-01,Mobile,1549
397,350,Created a group,2023-03-22,Web,3297
398,3861,Joined a group,2023-08-03,Mobile,974
399,1472,Joined a group,2023-11-17,Mobile,1751
400,2592,Joined a group,2023-08-16,Mobile,2420
401,1269,Joined a group,2023-07-19,Web,3405
402,4765,Added a transaction,2023-08-13,Web,2044
403,3988,Added a transaction,2024-12-17,Web,6842
404,4500,Created a group,2023-04-17,Mobile,1224
405,4079,Created a group,2024-02-28,Mobile,3528
406,3440,Joined a group,2023-01-06,Mobile,2394
407,1145,Joined a group,2024-07-11,Mobile,2870
408,2121,Added a transaction,2024-06-16,Mobile,3310
409,2606,Created a group,2024-12-02,Web,4344
410,2931,Joined a group,2023-02-11,Web,806
411,2756,Created a group,2023-06-19,Web,1978
412,3623,Joined a group,2024-09-25,Mobile,1116
413,803,Joined a group,2024-01-13,Mobile,1172
414,3010,Joined a group,2024-03-03,Web,4484
415,391,Added a transaction,2023-02-20,Web,2847
416,3619,Joined a group,2024-11-10,Mobile,2928
417,1911,Created a group,2024-11-13,Mobile,1657
418,901,Joined a group,2024-05-23,Mobile,2192
419,877,Added a transaction,2023-01-01,Web,2830
420,87,Added a transaction,2024-08-25,Mobile,3404
421,3169,Added a transaction,2024-06-16,Web,4693
422,757,Joined a group,2024-06-20,Mobile,1791
423,683,Joined a group,2024-12-16,Web,4237
424,1577,Created a group,2023-01-03,Mobile,2533
425,2685,Joined a group,2023-09-12,Web,3391
426,2247,Added a transaction,2023-02-21,Mobile,357
427,4367,Added a transaction,2024-01-17,Web,7689
428,1813,Added a transaction,2023-01-17,Web,873
429,1360,Added a transaction,2023-10-30,Web,1663
430,3799,Joined a group,2023-03-19,Web,1867
431,2268,Added a transaction,2023-12-09,Web,996
432,2927,Added a transaction,2023-07-30,Web,312
433,3240,Created a group,2023-05-22,Web,533
434,4477,Added a transaction,2023-01-26,Web,3553
435,315,Joined a group,2023-07-27,Web,3094
436,2823,Joined a group,2023-05-07,Web,667
437,561,Added a transaction,2023-12-28,Web,104
438,4700,Created a group,2024-04-07,Web,7866
439,4257,Created a group,2023-09-06,Web,386
440,3950,Created a group,2023-12-07,Mobile,2483
441,1969,Added a transaction,2023-09-29,Web,2190
442,4649,Added a transaction,2023-08-18,Mobile,763
443,681,Created a group,2023-12-10,Web,2641
444,367,Created a group,2024-06-26,Web,4782
445,681,Joined a group,2024-09-29,Mobile,2687
446,3608,Added a transaction,2023-10-30,Web,269
447,4255,Added a transaction,2023-04-28,Web,1251
448,2502,Joined a group,2024-04-17,Web,3251
449,1265,Added a transaction,2023-03-25,Mobile,208
450,2734,Created a group,2023-04-21,Mobile,982
451,745,Added a transaction,2024-08-09,Web,140
452,2073,Joined a group,2023-05-29,Mobile,2967
453,3197,Added a transaction,2023-08-13,Mobile,3556
454,2155,Created a group,2023-03-10,Web,2365
455,204,Joined a group,2023-12-10,Mobile,2944
456,1480,Added a transaction,2024-08-05,Mobile,2910
457,680,Joined a group,2024-02-15,Web,7177
458,1327,Joined a group,2023-07-04,Mobile,2088
459,2381,Joined a group,2024-05-14,Web,881
460,2415,Joined a group,2023-03-17,Web,3176
461,1989,Added a transaction,2023-12-03,Web,1776
462,2788,Joined a group,2023-10-06,Web,2201
463,4474,Joined a group,2023-03-06,Mobile,2741
464,4679,Added a transaction,2024-04-08,Mobile,737
465,476,Added a transaction,2024-06-23,Web,3890
466,406,Joined a group,2023-03-23,Web,419
467,3251,Added a transaction,2024-11-28,Web,776
468,1030,Created a group,2024-08-27,Mobile,1409
469,304,Added a transaction,2024-05-01,Mobile,301
470,2719,Added a transaction,2023-07-10,Mobile,2419
471,1622,Created a group,2024-03-27,Web,3180
472,3040,Joined a group,2023-08-23,Web,390
473,3279,Created a group,2024-06-06,Web,6980
474,894,Created a group,2023-09-06,Web,2703
475,4761,Joined a group,2023-07-07,Web,1487
476,4916,Added a transaction,2023-02-13,Web,474
477,3652,Added a transaction,2023-08-23,Web,1861
478,309,Created a group,2023-12-01,Web,1859
479,4934,Joined a group,2024-07-30,Mobile,2278
480,3809,Joined a group,2024-04-22,Mobile,413
481,1065,Created a group,2023-03-23,Mobile,3265
482,4572,Created a group,2024-11-09,Web,956
483,4014,Joined a group,2023-05-04,Web,3249
484,2769,Added a transaction,2023-12-19,Mobile,2977
485,3662,Joined a group,2024-12-08,Mobile,1857
486,2939,Added a transaction,2023-02-10,Mobile,3137
487,4922,Joined a group,2023-12-20,Mobile,2771
488,979,Joined a group,2024-07-11,Web,280
489,274,Created a group,2023-01-16,Web,1771
490,4689,Added a transaction,2023-02-23,Web,2985
491,3716,Added a transaction,2023-06-08,Web,729
492,3358,Joined a group,2023-08-17,Web,2828
493,3440,Added a transaction,2023-01-05,Web,2968
494,3650,Joined a group,2024-07-15,Web,5563
495,443,Joined a group,2024-11-17,Mobile,132
496,4266,Created a group,2023-12-28,Web,1523
497,16,Added a transaction,2023-05-14,Web,3392
498,955,Joined a group,2023-11-10,Web,2624
499,3326,Added a transaction,2024-10-15,Web,5893
500,445,Created a group,2024-08-09,Mobile,3223
501,4749,Joined a group,2023-10-30,Mobile,1198
502,2171,Created a group,2023-09-14,Web,456
503,2494,Joined a group,2024-04-18,Mobile,2959
504,400,Created a group,2024-11-15,Web,1790
505,4346,Joined a group,2023-04-18,Mobile,1731
506,4809,Joined a group,2023-02-08,Web,80
507,1066,Created a group,2023-03-27,Web,2400
508,4449,Added a transaction,2023-07-10,Web,2360
509,2165,Joined a group,2024-11-26,Mobile,1389
510,4793,Added a transaction,2023-06-19,Web,3084
511,2154,Created a group,2024-10-02,Web,3669
512,1294,Added a transaction,2024-09-01,Mobile,594
513,2973,Created a group,2024-04-04,Web,4623
514,936,Added a transaction,2024-05-31,Web,4815
515,4765,Joined a group,2023-05-15,Web,2264
516,3291,Added a transaction,2024-10-11,Web,3648
517,180,Joined a group,2024-12-26,Web,100
518,1723,Created a group,2023-03-27,Web,2004
519,4432,Joined a group,2023-12-15,Mobile,2833
520,681,Added a transaction,2024-01-31,Web,6136
521,1326,Created a group,2024-06-13,Web,1172
522,250,Created a group,2024-03-05,Mobile,1119
523,1224,Added a transaction,2023-11-28,Mobile,1037
524,3483,Added a transaction,2024-05-15,Mobile,595
525,3902,Joined a group,2024-05-04,Mobile,2180
526,1154,Created a group,2023-03-22,Mobile,264
527,323,Joined a group,2023-09-18,Web,373
528,4306,Created a group,2023-04-16,Web,3100
529,2317,Created a group,2023-07-15,Web,710
530,1796,Added a transaction,2024-07-26,Mobile,3441
531,3471,Created a group,2023-01-08,Mobile,875
532,57,Created a group,2023-05-27,Mobile,1944
533,262,Joined a group,2023-01-07,Web,886
534,2494,Added a transaction,2024-10-30,Web,1371
535,730,Added a transaction,2023-03-27,Web,1093
536,1779,Created a group,2023-08-30,Web,1847
537,876,Added a transaction,2023-01-06,Web,778
538,3268,Created a group,2024-09-05,Mobile,571
539,1635,Created a group,2024-01-21,Mobile,2950
540,2971,Added a transaction,2024-06-15,Mobile,949
541,1771,Joined a group,2023-11-10,Web,3573
542,2339,Created a group,2024-03-31,Web,3827
543,1208,Added a transaction,2024-04-19,Mobile,895
544,4127,Joined a group,2023-02-21,Web,484
545,396,Added a transaction,2024-09-29,Mobile,754
546,1830,Created a group,2024-02-04,Web,953
547,1583,Added a transaction,2024-12-26,Mobile,803
548,2938,Created a group,2024-01-24,Mobile,2345
549,4746,Added a transaction,2023-08-10,Web,1390
550,4883,Created a group,2024-06-27,Web,814
551,2505,Joined a group,2023-10-08,Web,810
552,2342,Created a group,2024-02-07,Mobile,2873
553,762,Added a transaction,2024-02-13,Web,6957
554,3944,Joined a group,2024-10-29,Web,5567
555,1634,Created a group,2023-11-10,Web,2046
556,3754,Created a group,2024-07-08,Mobile,3444
557,3314,Joined a group,2023-12-10,Mobile,1993
558,1660,Created a group,2024-12-18,Mobile,1663
559,272,Created a group,2024-12-29,Web,2954
560,225,Created a group,2023-11-30,Mobile,319
561,1385,Created a group,2023-01-04,Web,2852
562,3150,Created a group,2023-10-18,Web,521
563,3531,Created a group,2024-01-25,Mobile,2442
564,4330,Created a group,2023-01-01,Web,196
565,1583,Created a group,2023-06-07,Mobile,1476
566,3308,Joined a group,2023-09-01,Mobile,3429
567,1660,Added a transaction,2024-04-04,Web,2324
