SubscriptionID,UserID,PlanType,StartDate,RenewalStatus
212,4328,Free,2024-08-31,Active
213,1388,Free,2024-02-07,Active
214,4177,Premium,2023-11-14,Expired
215,2785,Free,2023-06-24,Active
216,520,Free,2024-07-30,Active
217,3592,Free,2023-08-27,Expired
218,2422,Free,2024-06-25,Active
219,4451,Free,2024-05-13,Active
220,1142,Free,2024-10-01,Active
221,1650,Free,2023-04-10,Expired
222,1669,Free,2023-05-15,Active
223,106,Free,2023-12-28,Active
224,181,Free,2024-07-12,Expired
225,3312,Free,2023-01-11,Active
226,4555,Free,2023-09-23,Active
227,2795,Free,2023-07-24,Active
228,2037,Free,2024-04-25,Active
229,771,Free,2024-05-30,Active
230,3477,Free,2024-04-22,Expired
231,276,Free,2024-12-29,Expired
232,2631,Free,2024-08-21,Active
233,4421,Free,2023-05-27,Active
234,1342,Free,2024-10-22,Active
235,3923,Free,2023-02-23,Active
236,319,Premium,2023-11-07,Active
237,36,Premium,2024-03-08,Active
238,2138,Free,2024-01-14,Active
239,1616,Free,2023-01-13,Active
240,198,Free,2023-12-17,Expired
241,4908,Free,2024-06-01,Active
242,472,Premium,2023-11-05,Active
243,4257,Premium,2024-07-17,Expired
244,2332,Free,2024-05-27,Active
245,4272,Free,2024-08-13,Expired
246,4886,Free,2024-05-03,Active
247,1386,Premium,2023-09-07,Active
248,622,Free,2024-10-10,Expired
249,640,Premium,2023-02-14,Active
250,2048,Free,2023-05-21,Active
251,4673,Premium,2023-05-28,Active
252,4793,Free,2023-07-30,Active
253,1080,Free,2023-05-13,Active
254,929,Free,2023-02-07,Active
255,3986,Premium,2023-01-25,Active
256,4080,Free,2024-01-24,Active
257,1494,Free,2024-11-09,Active
258,1857,Free,2023-06-29,Active
259,2253,Free,2023-07-10,Expired
260,635,Free,2023-11-15,Active
261,3933,Free,2023-02-14,Expired
262,2876,Free,2023-08-03,Active
263,3569,Free,2023-10-20,Active
264,1449,Free,2023-04-20,Active
265,4682,Premium,2023-09-07,Active
266,403,Free,2023-06-20,Active
267,1888,Free,2023-02-06,Active
268,1958,Free,2023-11-06,Active
269,1735,Free,2024-09-01,Active
270,1856,Free,2023-10-30,Active
271,3865,Free,2023-04-10,Active
272,2550,Premium,2023-06-06,Active
273,1102,Free,2023-09-08,Active
274,1764,Free,2023-10-19,Active
275,4144,Premium,2024-12-04,Active
276,1251,Premium,2024-01-29,Active
277,1932,Free,2023-07-29,Active
278,356,Free,2024-12-09,Active
279,806,Free,2024-08-11,Expired
280,491,Free,2023-04-29,Active
281,2116,Free,2024-07-12,Active
282,4562,Free,2024-03-31,Active
283,616,Free,2023-03-29,Active
284,3626,Free,2023-05-27,Active
285,3083,Premium,2024-11-18,Expired
286,189,Premium,2024-08-25,Active
287,4526,Free,2023-09-12,Active
288,3971,Premium,2023-03-21,Active
289,246,Premium,2023-09-20,Expired
290,725,Free,2024-11-21,Active
291,3685,Free,2023-06-28,Active
292,2746,Premium,2023-05-31,Active
293,183,Free,2024-11-30,Active
294,3574,Premium,2023-10-22,Active
295,4453,Free,2023-12-21,Expired
296,104,Free,2024-06-12,Active
297,883,Free,2023-08-15,Active
298,1997,Free,2024-10-25,Active
299,1482,Free,2023-10-18,Active
300,3685,Free,2023-09-14,Active
301,4752,Premium,2024-09-17,Active
302,1031,Free,2024-09-06,Active
303,1491,Premium,2024-02-24,Active
304,3193,Free,2023-08-05,Active
305,4711,Free,2023-10-20,Active
306,1004,Free,2024-12-02,Active
307,3021,Free,2023-04-27,Active
308,2139,Free,2023-03-08,Active
309,2878,Premium,2024-05-23,Active
310,316,Free,2023-07-06,Active
311,2489,Premium,2024-11-26,Expired
312,2679,Free,2023-01-14,Expired
313,3695,Free,2023-03-06,Active
314,230,Free,2024-09-17,Active
315,701,Free,2024-07-22,Active
316,2826,Free,2024-05-19,Active
317,39,Free,2024-03-16,Active
318,3495,Free,2023-12-18,Active
319,1774,Free,2024-12-12,Active
320,2627,Free,2023-07-17,Expired
321,3045,Free,2023-09-22,Active
322,1025,Free,2024-12-06,Active
323,715,Free,2024-09-02,Active
324,4660,Free,2023-02-21,Expired
325,1251,Free,2024-09-14,Expired
326,197,Premium,2024-02-25,Active
327,1576,Free,2024-07-13,Active
328,3520,Free,2023-10-09,Expired
329,1385,Free,2024-09-18,Expired
330,232,Premium,2024-10-03,Active
331,96,Free,2024-09-11,Active
332,2226,Free,2024-11-07,Active
333,4705,Free,2023-11-21,Expired
334,786,Free,2024-10-25,Expired
335,2933,Free,2024-04-21,Active
336,2707,Free,2024-06-24,Active
337,2561,Free,2023-09-29,Active
338,2219,Premium,2024-05-24,Active
339,3203,Premium,2023-03-01,Expired
340,2806,Free,2024-04-18,Expired
341,1468,Free,2023-06-07,Active
342,4921,Premium,2024-08-01,Active
343,2152,Premium,2023-01-06,Expired
344,2987,Free,2024-07-27,Expired
345,4674,Premium,2023-02-09,Active
346,1460,Free,2024-09-21,Expired
347,2404,Free,2023-10-01,Active
348,1637,Premium,2024-11-16,Expired
349,1782,Free,2023-09-17,Active
350,4094,Premium,2024-08-06,Active
351,1261,Premium,2023-06-11,Expired
352,2505,Free,2024-03-24,Expired
353,2814,Free,2024-06-02,Active
354,569,Premium,2024-03-06,Active
355,1498,Free,2024-06-06,Active
356,3506,Free,2024-12-03,Active
357,3911,Free,2024-03-25,Active
358,1341,Free,2023-07-27,Active
359,1344,Free,2024-08-24,Active
360,3138,Free,2023-07-23,Expired
361,1374,Free,2023-02-03,Active
362,2967,Free,2023-04-20,Active
363,1160,Free,2023-10-12,Active
364,3748,Free,2023-03-29,Expired
365,4175,Premium,2024-05-29,Active
366,733,Free,2024-09-02,Active
367,891,Free,2024-06-14,Active
368,4874,Free,2024-10-07,Active
369,3657,Free,2024-08-31,Active
370,4160,Free,2023-02-24,Active
371,8,Free,2023-08-04,Active
372,3939,Free,2023-06-23,Active
373,1238,Free,2024-02-27,Active
374,4161,Free,2024-11-30,Expired
375,2804,Free,2023-04-21,Active
376,3999,Free,2024-02-23,Active
377,2414,Free,2023-11-24,Active
378,1310,Premium,2023-12-25,Active
379,4254,Premium,2024-03-17,Active
380,318,Free,2023-03-03,Active
381,2482,Free,2023-10-14,Active
382,65,Free,2024-07-05,Active
383,896,Premium,2024-05-28,Expired
384,3821,Free,2024-08-15,Active
385,1240,Free,2023-08-07,Expired
386,3493,Free,2023-10-03,Active
387,227,Premium,2023-09-02,Active
388,1980,Free,2024-08-24,Expired
389,2546,Free,2023-04-06,Active
390,3194,Premium,2024-06-30,Active
391,629,Premium,2024-03-07,Active
392,4171,Premium,2023-08-01,Expired
393,3691,Free,2024-02-09,Active
394,1010,Free,2023-06-24,Active
395,1368,Premium,2023-09-16,Active
396,226,Free,2023-10-13,Expired
397,3269,Free,2024-01-02,Active
398,1767,Premium,2023-07-14,Expired
399,3290,Premium,2023-08-06,Active
400,4961,Free,2023-07-26,Active
401,1790,Free,2023-11-30,Active
402,3267,Free,2024-12-17,Active
403,1255,Premium,2024-11-09,Active
404,2974,Free,2023-01-06,Active
405,4036,Premium,2023-02-07,Active
406,1900,Premium,2023-05-17,Active
407,759,Premium,2023-06-11,Active
408,1232,Free,2024-05-08,Active
409,1807,Free,2024-10-14,Active
410,2039,Free,2024-01-20,Expired
411,1074,Free,2023-07-04,Active
412,1339,Free,2023-05-20,Active
413,2945,Free,2023-08-12,Expired
414,2156,Premium,2024-04-27,Active
415,3804,Premium,2023-03-09,Expired
416,3567,Free,2023-02-13,Active
417,1630,Free,2024-05-21,Expired
418,4172,Free,2023-04-18,Expired
419,1267,Free,2023-11-06,Active
420,823,Free,2023-05-03,Expired
421,3813,Premium,2024-08-04,Expired
422,2857,Free,2023-04-15,Active
423,138,Premium,2023-03-20,Expired
424,416,Free,2024-01-08,Active
425,4220,Free,2024-11-25,Expired
426,4427,Free,2024-10-22,Active
427,3589,Free,2024-11-09,Active
428,162,Free,2023-05-05,Active
429,3180,Free,2023-09-15,Active
430,2742,Free,2024-01-22,Active
431,224,Free,2024-12-22,Expired
432,2763,Premium,2023-03-24,Active
433,4026,Premium,2024-06-23,Active
434,3202,Free,2024-07-14,Active
435,740,Free,2023-09-13,Active
436,377,Free,2024-09-16,Active
437,1678,Free,2023-10-16,Active
438,1092,Free,2024-08-13,Active
439,1478,Free,2023-08-21,Active
440,2837,Free,2023-04-12,Active
441,3289,Free,2024-07-08,Active
442,4290,Premium,2024-12-18,Active
443,2856,Free,2023-07-26,Active
444,1416,Premium,2023-01-06,Active
445,2669,Free,2023-07-04,Active
446,978,Premium,2023-06-25,Active
447,838,Premium,2023-12-06,Expired
448,4753,Free,2024-06-29,Active
449,4480,Premium,2024-05-10,Active
450,1852,Free,2024-01-23,Active
451,2401,Premium,2024-08-06,Active
452,3398,Premium,2023-06-27,Expired
453,2005,Free,2024-01-21,Expired
454,2588,Free,2023-01-26,Active
455,4306,Free,2023-04-17,Active
456,1340,Free,2023-01-23,Expired
457,603,Premium,2023-02-05,Expired
458,32,Free,2024-08-10,Active
459,4778,Free,2023-03-15,Active
460,3010,Free,2024-09-07,Active
461,1196,Free,2023-07-01,Expired
462,1139,Free,2024-06-17,Active
463,747,Free,2024-02-09,Expired
464,627,Free,2023-03-20,Active
465,4621,Free,2024-09-27,Expired
466,450,Premium,2024-11-14,Active
467,1290,Free,2024-12-08,Active
468,4617,Premium,2024-03-08,Active
469,87,Free,2024-10-26,Active
470,3088,Premium,2024-08-27,Expired
471,1335,Free,2023-07-06,Active
472,3877,Free,2024-06-25,Active
473,923,Premium,2024-05-01,Active
474,2909,Premium,2024-11-10,Expired
475,4918,Premium,2024-10-25,Active
476,3685,Free,2023-12-13,Active
477,2739,Free,2024-11-18,Active
478,2535,Free,2024-08-23,Expired
479,1641,Free,2023-10-20,Active
480,2559,Free,2024-05-02,Active
481,2411,Free,2024-12-08,Expired
482,174,Free,2023-04-25,Active
483,3489,Free,2024-11-19,Expired
484,3049,Free,2023-04-01,Active
485,4747,Free,2024-04-18,Active
486,1900,Premium,2023-12-08,Active
487,3622,Free,2023-06-29,Active
488,4223,Free,2024-04-27,Active
489,1781,Premium,2024-05-03,Active
490,841,Free,2024-09-21,Active
491,3972,Free,2023-04-18,Active
492,2171,Free,2023-06-20,Active
493,2576,Free,2023-10-07,Active
494,889,Free,2023-10-11,Active
495,2144,Premium,2024-08-03,Expired
496,3248,Premium,2024-06-24,Expired
497,4840,Free,2024-02-12,Active
498,3500,Free,2023-12-20,Active
499,4395,Premium,2024-01-07,Active
500,1569,Free,2023-06-27,Active
501,3119,Premium,2023-09-27,Active
502,2506,Free,2024-03-03,Active
503,4056,Free,2024-07-28,Active
504,3744,Free,2024-02-13,Expired
505,4755,Free,2024-11-21,Active
506,4437,Premium,2023-11-04,Active
507,1370,Premium,2024-11-12,Expired
508,1028,Free,2023-12-18,Active
509,348,Free,2023-11-18,Active
510,4145,Free,2023-12-08,Active
511,4391,Free,2023-12-05,Active
512,161,Free,2024-01-22,Expired
513,4267,Free,2024-01-16,Expired
514,2465,Free,2024-11-13,Expired
515,4891,Free,2023-04-28,Active
516,1278,Premium,2024-03-30,Active
517,4070,Premium,2024-02-27,Expired
518,1869,Premium,2023-11-27,Expired
519,2280,Premium,2024-05-30,Expired
520,1218,Premium,2024-05-27,Active
521,70,Free,2023-05-24,Active
522,3477,Premium,2023-12-20,Active
523,2048,Free,2023-04-02,Active
524,3689,Free,2023-05-08,Active
525,315,Premium,2024-04-17,Active
526,906,Free,2024-02-17,Active
527,4090,Premium,2023-08-06,Expired
528,1243,Free,2024-01-23,Active
529,1702,Free,2024-01-30,Active
530,3129,Premium,2024-06-18,Active
531,1586,Free,2024-02-02,Active
532,2750,Free,2024-10-08,Active
533,611,Free,2024-03-24,Active
534,2698,Free,2024-08-06,Active
535,1552,Free,2023-03-20,Active
536,1853,Free,2024-05-29,Active
537,1247,Premium,2024-07-27,Expired
538,3419,Free,2024-11-28,Active
539,353,Free,2023-11-11,Active
540,4810,Premium,2024-02-25,Active
541,547,Free,2024-08-09,Active
542,2620,Premium,2023-09-13,Active
543,1432,Free,2023-06-10,Expired
544,2059,Free,2024-06-22,Active
545,3510,Free,2024-11-09,Expired
546,2926,Free,2023-06-28,Active
547,4917,Free,2024-03-09,Active
548,3890,Premium,2024-05-26,Expired
549,2480,Premium,2024-02-10,Active
550,1273,Free,2024-12-04,Active
551,3037,Free,2024-11-22,Expired
552,4759,Free,2023-06-23,Active
553,1359,Free,2023-03-01,Expired
554,2350,Premium,2023-10-08,Active
555,1186,Free,2024-01-24,Active
556,471,Free,2023-03-18,Active
557,3592,Free,2023-07-06,Expired
558,4361,Premium,2023-02-22,Active
559,2300,Free,2023-11-29,Active
560,502,Free,2023-10-02,Active
561,1755,Premium,2024-04-19,Active
562,3427,Premium,2024-06-03,Active
563,1375,Free,2023-01-18,Active
564,3453,Free,2024-12-16,Expired
565,4118,Free,2024-11-01,Active
566,4113,Free,2024-07-13,Active
567,251,Premium,2024-10-06,Active
568,3336,Free,2024-02-16,Expired
569,1630,Premium,2023-02-13,Active
570,496,Free,2024-10-25,Active
571,2222,Premium,2024-01-25,Active
572,4639,Free,2024-01-18,Active
573,1622,Free,2023-04-04,Active
574,4541,Premium,2023-10-29,Active
575,4467,Free,2024-04-02,Active
576,517,Premium,2023-11-25,Expired
577,3760,Free,2023-06-27,Expired
578,2922,Free,2023-10-18,Active
579,64,Free,2024-07-09,Active
580,4766,Free,2024-04-29,Expired
581,76,Free,2023-06-01,Active
582,2560,Premium,2023-05-29,Active
583,3250,Free,2023-09-27,Active
584,4992,Free,2023-02-11,Active
585,2912,Free,2024-08-05,Active
586,3029,Free,2024-01-01,Expired
587,4756,Free,2023-12-15,Active
588,13,Free,2023-07-27,Active
589,910,Free,2024-06-07,Active
590,158,Premium,2024-08-31,Active
591,3103,Free,2024-10-11,Active
592,3614,Free,2023-12-18,Expired
593,3200,Free,2024-07-12,Active
594,4934,Premium,2023-10-09,Active
595,4788,Premium,2023-04-03,Active
596,2408,Premium,2024-03-13,Active
597,4765,Free,2023-02-22,Active
598,3416,Premium,2023-02-16,Active
599,4201,Premium,2024-08-03,Active
600,3912,Free,2023-03-16,Active
601,1461,Free,2023-10-30,Active
602,2037,Premium,2024-10-10,Active
603,4321,Premium,2023-09-02,Active
604,2312,Free,2024-11-01,Expired
605,4632,Free,2023-11-29,Active
606,1744,Free,2024-03-17,Active
607,968,Free,2024-09-05,Active
608,1453,Free,2024-10-11,Expired
609,1833,Free,2023-08-01,Active
610,3459,Free,2024-06-24,Active
611,4629,Free,2023-11-28,Expired
612,2749,Free,2024-12-15,Active
613,3261,Premium,2023-01-05,Active
614,3222,Premium,2023-04-24,Active
615,3221,Free,2024-01-24,Active
616,3422,Free,2023-12-31,Active
617,4859,Free,2024-09-11,Active
618,56,Free,2023-09-07,Expired
619,3914,Free,2023-02-19,Active
620,1925,Free,2023-05-21,Active
621,328,Free,2024-07-29,Active
622,2580,Free,2024-04-24,Active
623,1786,Free,2023-06-08,Expired
624,4846,Free,2023-11-23,Expired
625,3758,Free,2023-11-12,Active
626,3703,Free,2023-08-19,Active
627,1057,Free,2024-12-24,Active
628,1480,Free,2024-06-12,Active
629,1853,Free,2024-04-10,Expired
630,4838,Premium,2024-12-09,Active
631,2447,Premium,2023-03-02,Active
632,3464,Free,2023-08-25,Active
633,2532,Premium,2024-01-16,Active
634,3789,Premium,2023-01-21,Active
635,1928,Free,2023-10-13,Active
636,4130,Free,2023-03-01,Active
637,4378,Free,2023-10-21,Expired
638,3511,Premium,2023-05-22,Active
639,2615,Free,2023-04-08,Active
640,928,Free,2024-01-02,Active
641,3142,Premium,2024-11-19,Active
642,217,Free,2024-02-07,Active
643,1959,Free,2023-03-19,Expired
644,2314,Premium,2024-07-24,Expired
645,4846,Premium,2024-01-15,Active
646,4515,Free,2024-05-30,Active
647,374,Free,2024-12-08,Active
648,2856,Free,2023-11-20,Active
649,2465,Free,2024-10-09,Expired
650,2246,Free,2024-07-22,Expired
651,4502,Free,2024-10-09,Active
652,2504,Free,2024-11-04,Active
653,666,Premium,2024-03-27,Active
654,1289,Free,2024-12-12,Active
655,4055,Free,2023-04-16,Expired
656,2179,Free,2023-08-15,Active
657,1226,Premium,2023-10-13,Active
658,2731,Free,2023-11-11,Active
659,4103,Premium,2023-11-11,Active
660,2757,Free,2023-12-12,Active
661,4779,Premium,2023-10-19,Active
662,3450,Premium,2023-06-16,Active
663,3521,Free,2023-09-29,Active
664,2420,Free,2023-04-20,Active
665,2143,Free,2024-12-04,Expired
666,2398,Premium,2023-08-10,Active
667,1549,Free,2024-01-10,Active
668,238,Free,2024-06-07,Expired
669,4089,Premium,2023-10-17,Active
670,2469,Free,2024-11-19,Active
671,1408,Free,2023-07-17,Active
672,1936,Premium,2024-04-26,Active
673,2366,Free,2024-11-25,Expired
674,94,Free,2024-02-24,Active
675,4983,Premium,2024-08-17,Active
676,4306,Free,2023-12-20,Expired
677,2547,Free,2024-02-26,Active
678,151,Premium,2024-02-07,Expired
679,3701,Free,2024-09-03,Active
680,1215,Free,2024-04-28,Active
681,4740,Free,2024-03-24,Active
682,4064,Free,2023-02-09,Active
683,4713,Premium,2023-08-29,Active
684,3030,Free,2023-03-03,Expired
685,1141,Free,2023-02-11,Active
686,215,Premium,2023-11-09,Expired
687,4056,Free,2024-03-16,Active
688,3628,Premium,2024-07-13,Active
689,2840,Free,2024-03-05,Active
690,1497,Free,2024-11-19,Active
691,1502,Free,2024-10-17,Active
692,2779,Premium,2023-02-14,Expired
693,3278,Free,2024-11-17,Active
694,2437,Premium,2023-07-25,Active
695,4567,Premium,2024-08-03,Active
696,2937,Free,2024-08-22,Expired
697,4385,Premium,2024-11-11,Active
698,4539,Premium,2024-03-17,Active
699,3533,Free,2023-12-15,Active
700,1943,Free,2024-11-10,Active
701,3112,Free,2023-06-06,Active
702,2081,Free,2023-10-20,Active
703,4445,Free,2024-06-28,Active
704,3517,Premium,2024-02-20,Active
705,3667,Premium,2023-02-12,Active
706,2526,Premium,2024-06-09,Active
707,3307,Free,2023-07-25,Expired
708,1765,Free,2024-07-25,Expired
709,441,Premium,2023-01-30,Active
710,4724,Free,2024-02-21,Active
711,1619,Free,2024-12-11,Expired
712,1589,Free,2023-05-05,Expired
713,3696,Premium,2024-09-26,Active
714,1610,Free,2024-03-02,Active
715,1389,Free,2023-04-16,Active
716,755,Free,2024-09-20,Active
717,1569,Premium,2024-05-17,Active
718,365,Free,2023-07-14,Active
719,3516,Free,2023-08-04,Expired
720,2075,Free,2023-05-13,Active
721,3168,Free,2023-04-15,Active
722,2878,Free,2023-12-27,Active
723,356,Premium,2023-06-11,Expired
724,2018,Free,2023-10-12,Expired
725,773,Premium,2023-04-15,Active
726,1562,Free,2024-03-24,Expired
727,1117,Free,2024-01-29,Active
728,1516,Free,2023-08-24,Expired
729,1887,Free,2024-04-02,Active
730,4785,Premium,2024-08-22,Active
731,2137,Free,2023-02-13,Expired
732,2643,Free,2024-03-04,Active
733,3702,Premium,2023-04-28,Active
734,1424,Free,2024-03-29,Expired
735,839,Free,2024-12-18,Active
736,3070,Free,2023-10-09,Active
737,1864,Free,2023-04-23,Active
738,4448,Premium,2023-08-14,Active
739,571,Premium,2024-05-18,Active
740,897,Free,2024-09-23,Expired
741,3811,Premium,2024-06-14,Active
742,1611,Free,2024-06-10,Active
743,4616,Free,2024-01-17,Active
744,3719,Free,2024-03-03,Active
745,3255,Premium,2023-03-08,Active
746,3099,Free,2024-02-10,Active
747,722,Free,2024-05-09,Active
748,3913,Premium,2024-07-30,Expired
749,2644,Free,2023-12-09,Active
750,3360,Free,2023-10-14,Active
751,1295,Free,2023-03-02,Active
752,3231,Free,2024-09-02,Active
753,1393,Free,2024-03-20,Active
754,3434,Premium,2024-02-29,Active
755,172,Free,2023-12-15,Active
756,3961,Premium,2024-06-21,Active
757,2547,Free,2023-04-04,Active
758,494,Premium,2023-01-09,Expired
759,4537,Free,2024-09-29,Active
760,4806,Premium,2024-11-12,Active
761,4444,Free,2024-03-02,Expired
